"","AD","FD","Pri.NAV.scaled","Pri.Com.scaled","w1","sum.w1","w2","sum.w2","AMT","Yield1.US","Yield10.US","Yield1.EU","Yield10.EU","Y.US.EU.Date","HYspread","HYspread.Date","MSCI.Return","ES50.Return","SP500.Return","NASDAQ.Return","Comm.Return","VTM.Return","WRA.Return","RE.US.com.Return","PuPri.NAV.scaled","PuPri.Com.scaled","PuPri.wc.scaled","Pri.wc.scaled"
"1819",2013-06-30,2014-07-01,1.26372693808564,1.20759892645187,"0.3-1.6-0.8-4.3-0.3-0.9-0.6",5.17589395133515,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"RE-RE-BO-FOF-BO-FOF-FOF",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.22496518641144,1.21457111018297,1.21457111018297,1.20759892645187
"1820",2013-06-30,2014-07-01,1.19705534232995,1.25816620311376,"0.1-2.4-1.1-3.5-0.6-0.5-1.2",5.91242133976753,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"RE-MEZZ-NatRes-MEZZ-BO-RE-MEZZ",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.21261859460483,1.22393542067591,1.21261859460483,1.19705534232995
"1821",2013-06-30,2014-07-01,0.984428362909219,1.03376317504541,"0.1-1.9-2-109.5-0.5-1.7-0.6",10.068111764371,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"NatRes-FOF-VC-RE-BO-FOF-MEZZ",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.17324322804544,1.18237930436696,1.17324322804544,0.984428362909219
"1822",2013-06-30,2014-07-01,1.17721113949449,1.1675058524473,"0.1-1.8-1.6-1.5-0.1-2.7-0.7",7.41835230519313,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"RE-RE-BO-NatRes-BO-RE-BO",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.2089437422279,1.20714646684879,1.20714646684879,1.1675058524473
"1823",2013-06-30,2014-07-01,1.21209219629205,1.18797845077066,"0.6-1.3-1-1.9-0.2-1.1-0.4",4.03608259851846,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"FOF-BO-RE-BO-RE-FOF-RE",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.21540319719041,1.21093768876052,1.21093768876052,1.18797845077066
"1824",2013-06-30,2014-07-01,0.990959414044651,1.05667961687405,"0.2-2.9-0.7-4.6-0.3-0.8-1.1",6.07930643230478,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"RE-NatRes-VC-FOF-BO-VC-FOF",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.17445268195941,1.18662308989078,1.17445268195941,0.990959414044651
"1825",2013-06-30,2014-07-01,1.22488769135068,1.20938079254716,"0.2-2.5-0.8-1.3-0.2-1.4-2",5.65029378970521,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"raus-FOF-FOF-RE-VC-BO-RE",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.21777273331238,1.2149010853858,1.2149010853858,1.20938079254716
"1826",2013-06-30,2014-07-01,1.25450965272513,1.25384716080824,"0.2-2.5-2.4-2.9-0.2-2.8-0.3",8.30893825259578,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"BO-BO-NatRes-FOF-RE-Infrastructure-NatRes",0.15,2.52,2.003652,2.7823979,"2013-06-30",5.21,"2013-06-30",1.21615569739458,1.24039514483649,1.22035382661164,1.2953276520717,1.02578268876611,1.04174897763056,1.06940168069318,1.12616829023928,1.22325828171505,1.22313559802674,1.22313559802674,1.25384716080824
"1827",2013-09-30,2014-10-01,1.21640628712648,1.22088655219843,"0.3-2.8-1-1.2-0.6-1.4-0.7",3.61988658262699,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"BO-NatRes-RE-RE-BO-BO-FOF",0.1,2.64,1.9692133,2.7926886,"2013-09-30",4.83,"2013-09-30",1.10024163195502,1.11502341738244,1.17289999198828,1.19146115088836,0.882088208820882,1.03780393015447,1.04497554504679,1.0925515664222,1.12175360513492,1.12258328385195,1.12175360513492,1.21640628712648
"1828",2013-09-30,2014-10-01,1.80474327491123,1.28634704143886,"0.5-1.8-1.5-9.9-0.4-0.8-0.2",6.72780590633324,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"FOF-RE-BO-VC-RE-BO-BO",0.1,2.64,1.9692133,2.7926886,"2013-09-30",4.83,"2013-09-30",1.10024163195502,1.11502341738244,1.17289999198828,1.19146115088836,0.882088208820882,1.03780393015447,1.04497554504679,1.0925515664222,1.23070489916913,1.13470559667425,1.13470559667425,1.28634704143886
"1829",2013-09-30,2014-10-01,1.75906897689529,1.40712861249205,"0.3-6.5-0.7-3-0.3-1.5-2",6.83364730682842,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"DD-NatRes-BO-MEZZ-VC-FOF-RE",0.1,2.64,1.9692133,2.7926886,"2013-09-30",4.83,"2013-09-30",1.10024163195502,1.11502341738244,1.17289999198828,1.19146115088836,0.882088208820882,1.03780393015447,1.04497554504679,1.0925515664222,1.22224669583284,1.15707255427669,1.15707255427669,1.40712861249205
"1830",2013-09-30,2014-10-01,1.47247453173335,1.31364476999473,"0.2-7.7-1.1-3.3-4.9-1.8-1.6",7.58691638883493,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"RE-BO-FOF-BO-RE-FOF-FOF",0.1,2.64,1.9692133,2.7926886,"2013-09-30",4.83,"2013-09-30",1.10024163195502,1.11502341738244,1.17289999198828,1.19146115088836,0.882088208820882,1.03780393015447,1.04497554504679,1.0925515664222,1.16917365043249,1.139760731592,1.139760731592,1.31364476999473
"1831",2013-09-30,2014-10-01,1.14579263161116,1.15392826252382,"0.2-2-1.3-4.5-0.6-1.4-0.5",5.60947179518496,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"BO-VC-FOF-BO-VC-Infrastructure-BO",0.1,2.64,1.9692133,2.7926886,"2013-09-30",4.83,"2013-09-30",1.10024163195502,1.11502341738244,1.17289999198828,1.19146115088836,0.882088208820882,1.03780393015447,1.04497554504679,1.0925515664222,1.10867700226171,1.11018360057887,1.10867700226171,1.14579263161116
"1832",2013-09-30,2014-10-01,1.26184951833963,1.2588449305529,"0.1-2.1-2-1.8-0.4-1.7-0.4",6.68866599799597,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"BO-BO-RE-RE-BO-FOF-BO",0.1,2.64,1.9692133,2.7926886,"2013-09-30",4.83,"2013-09-30",1.10024163195502,1.11502341738244,1.17289999198828,1.19146115088836,0.882088208820882,1.03780393015447,1.04497554504679,1.0925515664222,1.13016901832254,1.12961261317685,1.12961261317685,1.2588449305529
"1833",2013-09-30,2014-10-01,1.09927845395253,1.24309217691881,"0.1-2-1.4-4-0.5-0.5-0.7",6.46146817635372,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"VC-FOF-VC-RE-SEC-BO-Infrastructure",0.1,2.64,1.9692133,2.7926886,"2013-09-30",4.83,"2013-09-30",1.10024163195502,1.11502341738244,1.17289999198828,1.19146115088836,0.882088208820882,1.03780393015447,1.04497554504679,1.0925515664222,1.10006326565826,1.12669543657794,1.10006326565826,1.09927845395253
"1834",2013-09-30,2014-10-01,1.27412675519664,1.22064186867824,"0.3-1.5-1.2-1.8-0.2-1.2-0.3",5.37527840768417,"1-2-0.5-1.5-1.2-1.5-1",2.37954613413017,"NatRes-BO-BO-DD-VC-FOF-BO",0.1,2.64,1.9692133,2.7926886,"2013-09-30",4.83,"2013-09-30",1.10024163195502,1.11502341738244,1.17289999198828,1.19146115088836,0.882088208820882,1.03780393015447,1.04497554504679,1.0925515664222,1.13244258070347,1.12253797208895,1.12253797208895,1.22064186867824
