"","AD","FD","Pri.NAV.scaled","Pri.Com.scaled","w1","sum.w1","w2","sum.w2","AMT","FID"
"2048","1999-03-31","2000-03-31",1.28526658759834,1.19967877507196,"0.4-3.6-4.4-2.6-0.4-1.7-0.3-1.8-2.7-600.2",15.2635337214688,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-RE-VC-BO-SEC-SEC-FOF-VC-VC","951842-956281-954567-95061-94977-951003-951003-951999-951634-9513614"
"2049","2014-12-31","2016-01-01",1.03340150534759,1.02518533504795,"0.3-2.1-1.6-0.9-0.2-0.6-0.1-0-0.4-1.2",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-FOF-VC-BO-FOF-FOF-MEZZ-VC-VC","9522659-9521361-9541720-9516507-9513640-958782-9510155-9521853-957810-953813"
"2050","2011-03-31","2012-03-31",0.944742027418792,0.96080174480171,"2-1.1-0.7-2.8-1.1-0.6-0.2-1.4-0.5-0.9",5.52530537032756,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-RE-VC-BO-RE-MEZZ-FOF-VC-VC","9516240-9511368-958484-95264-9513132-9511529-951798-953453-95412-95539"
"2051","1996-03-31","1997-04-01",1.38178872631722,1.30382270545844,"0.5-7.2-1.7-1-0.2-1.1-0.5-0.9-0.7-0.9",6.16314770569688,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-NatRes-MEZZ-VC-BO-BO-MEZZ-VC-VC-BO","951345-951472-951443-951101-951817-95657-95310-951753-95390-951837"
"2052","2002-03-31","2003-04-01",NA,NA,"20.6-NA-0.6-4.4-0.3-1.2-0.1-2.8-0-0",NA,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-NatRes-VC-BO-RE-DD-MEZZ-VC-BO","952127-956293-95602-951591-95462-951901-951247-951443-951972-950925"
"2053","2011-03-31","2012-03-31",1.06129657566193,1.06517756010969,"0.8-1.6-1.2-3-0.7-1.8-0.2-1.4-0.5-0.9",5.66296048013595,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-RE-VC-BO-RE-RE-FOF-VC-FOF","9518677-9515256-9510457-9511968-956975-957630-955318-953936-952120-95772"
"2054","1996-03-31","1997-04-01",1.31717542837202,1.27705108892689,"0.7-0.9-0.8-0.9-0.2-0.6-0.1-2.4-0.2-0.5",8.39144198611068,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-DD-VC-BO-BO-VC-BO-BO-FOF","95476-954574-951632-9396-95102-94998-951753-951985-951978-95413"
"2055","1998-09-30","1999-10-01",0.982330393161921,1.11202975298238,"0.3-0.8-0.9-3.1-0-1-0.2-2.5-6.2-1",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-DD-VC-BO-DD-MEZZ-VC-BO-BO","951976-952061-951415-950883-951816-956897-95330-952024-951434-955609"
"2056","2009-09-30","2010-10-01",0.423538385896804,1.10860764689195,"20.2-1.3-3.3-1.3-0.4-3.9-0.1-4.4-0.7-8.7",13.3057884903419,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-NatRes-RE-VC-BO-RE-FOF-SEC-VC-SEC","956949-958644-9512615-954265-956121-955933-953453-952251-951241-951005"
"2057","2003-12-31","2004-12-31",0.734083495207161,0.956868840124986,"41.3-2-8.7-5.5-0.3-1.4-0-3.5-1.1-7",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-FOF-VC-BO-NatRes-DD-SEC-VC-VC","952506-956283-9372-953513-954685-952015-951844-951006-9355-95007"
"2058","2005-12-31","2007-01-01",1.21367770551833,1.2824976101603,"0.3-11.9-5.3-2.7-0.2-1-0.7-12.7-1.4-4.5",12.6897342812466,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-FOF-VC-BO-FOF-RE-MEZZ-VC-SEC","954999-956052-956489-95172-951075-954124-951930-950940-95170-951003"
"2059","2010-06-30","2011-07-01",1.19599234242813,1.17158548415858,"0.8-1.1-2.2-1.7-0.4-0.7-0.1-1.5-0.8-1.3",6.10406303524177,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-FOF-VC-BO-FOF-raus-FOF-VC-VC","9510698-958880-959299-955828-955268-954106-954092-95789-953023-95473"
"2060","2006-06-30","2007-07-01",1.56142819373647,1.43812725150242,"0.2-9.6-1.7-6.9-0.3-0.8-0.2-2-2-5",12.3656372152015,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-DD-VC-BO-FOF-FOF-FOF-VC-VC","954310-956828-953353-953794-95128-951301-950985-950985-95081-951101"
"2061","2001-12-31","2003-01-01",NA,NA,"0.7-5-3.5-1.1-0.3-0.9-NA-0.7-6.4-7.8",NA,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-FOF-VC-BO-DD-SEC-NatRes-VC-VC","950999-951314-95782-95081-951838-951243-951006-956127-951237-951332"
"2062","2012-09-30","2013-10-01",1.12073247075066,1.13975458459182,"1-1.5-3-4.4-0.4-0.7-0.1-1.1-0.3-0.7",8.21719063457642,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-NatRes-RE-VC-BO-SEC-RE-Infrastructure-VC-FOF","9522722-9527617-9511921-9516818-955449-9510942-957010-957925-954185-95582"
"2063","1999-03-31","2000-03-31",1.32045614678578,1.28175898855665,"5.7-1.1-2.7-1.2-0.2-0.5-0.2-2.4-26.7-1.8",11.6712916575394,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-DD-MEZZ-VC-BO-NatRes-DD-DD-VC-BO","95152-95387-951456-951845-951707-95133-956897-956897-951254-95148"
"2064","2005-12-31","2007-01-01",2.24798052311381,1.73460269877239,"0.6-1.3-29.1-4.2-0.2-1.3-1.2-13.1-5.5-1.4",12.2469688804625,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-RE-VC-BO-DD-MEZZ-MEZZ-VC-BO","955056-952974-953458-951377-952224-952030-951227-951227-94982-95729"
"2065","2013-12-31","2015-01-01",1.16138131503005,1.13267356600199,"0.3-3.9-0.9-3-0.5-0.6-0.2-4-0.5-2.9",9.72648515721977,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-RE-VC-BO-RE-RE-DD-VC-VC","9523845-9515246-9516864-9516818-958094-9510300-957944-956047-952250-951264"
"2066","2011-12-31","2012-12-31",1.14592267554206,1.118996242137,"0.3-0.9-1.5-2.4-0.3-0.7-0.3-8.7-0.6-1.1",8.12434654726728,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-NatRes-FOF-VC-BO-Infrastructure-RE-MEZZ-VC-VC","9515340-9512546-957318-955688-953820-9510071-956716-95069-952120-951937"
"2067","2004-06-30","2005-07-01",1.36403454032621,1.4253546174774,"0.3-1.7-1.5-4.9-0.5-0.8-0.3-1.5-0.8-4.6",8.00422986773037,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-DD-DD-VC-BO-NatRes-RE-NatRes-VC-BO","95164-952126-952126-951640-95463-95602-956900-951472-95337-9437"
"2068","1999-06-30","2000-06-30",0.847428309944706,1.45009527203887,"6.8-7.4-0.8-1.6-0.3-1.2-0.2-1-0.7-600.2",14.3612199434511,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-DD-VC-BO-SEC-SEC-RE-BO-VC","95642-95733-951415-952029-95356-951003-951003-951920-95629-9513614"
"2069","2000-09-30","2001-10-01",2.08538511538561,1.43756578045247,"0.3-1-0.4-3.8-0.4-0.9-0.1-4.1-0.6-75.8",13.029411833583,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-RE-VC-BO-MEZZ-RE-MEZZ-VC-BO","95691-956900-951923-951169-95290-951315-951920-951442-952146-951468"
"2070","1995-06-30","1996-06-30",1.16685401311009,0.991854499137663,"0.8-1.5-0.6-2.8-0.5-0.5-0.1-1.3-18.8-0.8",9.27729784010106,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-NatRes-SEC-VC-VC-VC-BO-VC-VC-BO","95073-95600-951003-951635-951895-951753-95629-95390-9513614-951973"
"2071","2006-12-31","2008-01-01",1.06142972712482,1.28010003043695,"0.1-1.1-1.5-1.4-0.3-1.1-0.2-696.6-1.1-1.5",13.0955401599365,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-NatRes-MEZZ-VC-BO-FOF-MEZZ-RE-VC-VC","956082-955150-953938-952250-952234-951950-951314-954112-95444-951647"
"2072","2004-06-30","2005-07-01",1.13858924881454,1.29283100213298,"0.3-1.8-3.7-6.2-0.4-0.8-0.7-1.7-1-2.8",7.98099847629971,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-DD-FOF-VC-BO-MEZZ-DD-MEZZ-VC-BO","95049-951246-951130-95281-951340-951797-951844-951829-951726-95230"
"2073","2002-09-30","2003-10-01",1.01971439352726,0.971085737119933,"3.8-2.4-1.1-2.1-0.5-0.7-0.3-112.5-1.9-2.7",11.6595711382717,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-FOF-VC-BO-NatRes-RE-RE-VC-FOF","95773-951950-950985-951482-952020-952015-951901-951903-951336-951999"
"2074","2007-03-31","2008-03-31",NA,NA,"0.3-NA-5.9-2.9-0.2-3.6-0.4-1.3-7.3-0",NA,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-RE-VC-BO-RE-MEZZ-RE-VC-BO","957721-9521853-953459-953366-951912-951905-951624-955127-95761-951658"
"2075","2006-09-30","2007-10-01",1.27186042478351,1.28640153506729,"0.2-2.2-1.4-2.9-0.3-0.6-0.7-15.7-1.3-0",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-SEC-VC-BO-FOF-DD-MEZZ-VC-VC","954701-95785-953011-952803-95053-95782-952030-951313-95740-951208"
"2076","2008-03-31","2009-04-01",0.703345083788968,0.743156784016657,"1.9-2.9-0.8-3.9-0.4-0.6-0.1-22.9-0.5-2",11.5378174479289,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-RE-VC-BO-FOF-FOF-MEZZ-VC-BO","9509897-958478-956370-954407-950871-953453-95789-95716-95123-95756"
"2077","1997-03-31","1998-04-01",1.28450801062401,1.32159523290583,"0.3-0.9-1.1-2.2-0-1.1-0.5-0.9-2.8-0.6",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-NatRes-VC-BO-MEZZ-VC-VC-MEZZ-BO","951011-954574-95133-951336-951816-951442-951895-951753-95310-95629"
"2078","2012-12-31","2014-01-01",1.1115888101146,1.06956752469872,"0.5-0.8-1.3-0.9-1-1.1-0.1-2.9-0.7-2.8",6.13291588291016,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-RE-VC-BO-MEZZ-DD-RE-VC-BO","9517798-9512950-9515372-9510202-9514475-954565-957772-956830-954344-951183"
"2079","2001-06-30","2002-07-01",NA,NA,"0.4-1.3-2.2-1.1-0.2-0.7-NA-4-0.9-0.7",NA,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-MEZZ-VC-BO-MEZZ-RE-SEC-VC-VC","95643-951705-95240-95502-951073-952013-951903-951003-951579-952146"
"2080","1995-03-31","1996-03-31",1.38859376557039,1.17200605842973,"0.3-0.7-0.7-2.1-0.3-0.8-0.2-1.6-0.6-0.8",6.89978710933296,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-DD-VC-VC-VC-VC-BO-VC-VC","95304-951920-953786-951596-95537-951254-951773-95657-951254-9513613"
"2081","2002-12-31","2004-01-01",1.04218149791851,1.07536709814389,"9.2-2.4-0.6-2.2-0.4-1.2-0.3-0.7-3.1-8.3",10.3008728687656,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-NatRes-VC-BO-RE-NatRes-NatRes-VC-VC","952131-951950-95602-95352-95140-954112-95133-956127-95169-951507"
"2082","1996-12-31","1998-01-01",1.19823953223966,1.2685461402563,"0.1-0.9-0.6-1.1-0.7-0.4-0.6-9.1-0.5-0.3",8.90326711020975,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-DD-VC-BO-VC-VC-BO-VC-BO","951097-954574-951632-9396-952014-952024-951634-955144-95537-951978"
"2083","1999-12-31","2000-12-31",1.20103581830729,1.08883655215545,"0.2-1-0.5-1.9-0.2-0.5-0.2-4.1-29.1-1.7",12.1688153835445,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-RE-VC-BO-RE-FOF-MEZZ-MEZZ-BO","95756-950940-951923-95646-950926-954574-951999-951442-95310-951837"
"2084","2014-09-30","2015-10-01",0.997345281151961,1.06346415668544,"0.3-3.2-0.7-1.2-0.2-0.6-0.1-6.2-1.1-8",11.3282697575936,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-RE-VC-BO-FOF-RE-RE-VC-VC","9538146-9538865-9522753-9520926-9511598-958783-9513234-9513883-956926-95616"
"2085","2005-06-30","2006-07-01",1.30666577228366,1.50286948569535,"0.8-2.6-1.7-12.2-0.7-1.1-0.5-3.2-7.9-13.4",11.1811197796816,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-FOF-VC-BO-FOF-DD-FOF-VC-BO","954339-953350-95788-952021-95250-95784-951844-95579-95121-95230"
"2086","2012-06-30","2013-07-01",1.07101439041059,1.18400304979666,"0.5-3.1-5.7-2.9-0.3-2.3-0.1-1.8-0.5-4.3",11.7087420923006,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-DD-Infrastructure-VC-BO-RE-DD-DD-VC-BO","9516444-9516531-9521377-958645-9513559-958273-9519434-955107-953335-951617"
"2087","2009-06-30","2010-07-01",1.0029036539858,1.16957538402813,"0.7-34.8-2.3-2-0.3-5.4-0.2-1.8-2-0",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-raus-RE-VC-BO-NatRes-FOF-FOF-VC-VC","9510137-9512072-958464-956926-952961-952016-953236-9372-951728-951323"
"2088","2000-03-31","2001-04-01",1.14295573509668,1.15498934876767,"0.7-5.8-2.3-1.3-0.2-1.4-0.1-1.9-2.3-0",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-NatRes-VC-BO-SEC-NatRes-FOF-VC-BO","952816-951950-951473-95081-951702-951003-95600-951999-951596-955609"
"2089","2008-09-30","2009-10-01",0.542744648479346,0.82243164601803,"0.3-1.4-1.3-1.4-0.3-0.7-0.1-12.3-1.1-55.5",12.6238068462297,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-RE-VC-BO-FOF-FOF-RE-VC-MEZZ","959819-958142-959668-953494-952514-952137-951130-951905-951351-951456"
"2090","1996-06-30","1997-07-01",1.16999364353701,1.17770160355725,"0.2-4.8-1.1-2.4-0.4-1.4-0.6-1.1-1.2-0.9",6.29541359202363,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-NatRes-MEZZ-VC-BO-BO-BO-VC-VC-BO","951707-95133-951442-951336-951469-95624-955144-952024-951773-95148"
"2091","2006-06-30","2007-07-01",1.53646831526541,1.36745674979991,"0.5-5.2-1.1-2.9-0.3-0.9-0.2-16.5-1.8-2.1",10.5536823459,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-RE-VC-BO-FOF-FOF-NatRes-VC-BO","955000-958152-954020-952803-951663-954450-951950-952015-95170-951804"
"2092","2002-12-31","2004-01-01",1.06421704233264,1.1292286511509,"0.4-1-3.7-2.2-0.5-0.6-0.2-3.2-1.1-0",Inf,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-FOF-VC-BO-DD-MEZZ-NatRes-VC-DD","95344-95042-950986-95352-95655-95387-95732-95133-951101-956173"
"2093","2011-12-31","2012-12-31",1.17124015643202,1.13747025561173,"0.6-0.9-0.5-3.1-0.2-0.8-0.2-2-0.9-0.7",7.03793744781378,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-SEC-VC-BO-RE-FOF-SEC-VC-VC","9515798-9514604-9518298-9510163-958139-956635-957210-954068-952791-952120"
"2094","2004-09-30","2005-10-01",1.70724696573552,1.4992867630836,"0.4-1.7-6.8-3.8-0.3-0.5-0.1-3.7-0.8-7.1",12.3901188947423,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-SEC-RE-VC-BO-RE-FOF-RE-VC-BO","95561-95467-953458-950865-95190-956281-950985-956269-950888-95654"
"2095","1997-06-30","1998-07-01",1.15151148145944,1.20234576280798,"0.2-1.7-0.7-1.5-0.3-1.8-6.7-3.1-0.5-5.8",10.1784804207716,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-RE-VC-BO-MEZZ-VC-BO-FOF-VC","951676-95466-954574-951238-951469-951442-951254-951468-95413-9513613"
"2096","2001-09-30","2002-10-01",1.2824666359537,1.06571742102296,"2.9-0.8-2-1.2-0.4-1.3-0.4-2-0.6-2.7",6.45549333121256,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-MEZZ-VC-BO-RE-SEC-NatRes-VC-VC","951214-956281-95554-95792-950872-951901-951003-95133-9396-95051"
"2097","2002-12-31","2004-01-01",0.773067478506957,1.06878286964828,"0.6-9.1-0.6-5.1-0.3-0.5-0.1-2.3-6.7-8.3",13.9101434427996,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-NatRes-VC-BO-RE-DD-MEZZ-VC-VC","9430-951905-95602-95522-951213-955133-951247-952013-950974-950974"
"2098","1997-06-30","1998-07-01",1.96799837705745,1.3580918352344,"0.2-3.5-1.4-1.5-0.3-0.5-2.5-412.6-0.4-12",15.8412249247182,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-MEZZ-MEZZ-VC-BO-DD-VC-VC-BO-BO","951676-952013-951315-951238-95150-956897-951408-9513614-95629-955144"
"2099","2004-09-30","2005-10-01",1.15189995572356,1.29577551251211,"0.3-8.5-1.8-8.5-0.4-0.9-0.1-1-1.3-1.3",9.92085666568161,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-NatRes-FOF-VC-BO-NatRes-DD-NatRes-VC-VC","953126-954148-951295-952117-95400-95134-95387-956128-951983-951647"
"2100","2010-03-31","2011-04-01",1.22607773448161,1.14593196384915,"1.6-1.3-3.7-3.8-0.3-1.3-0.2-2.7-1.5-187.5",13.0839724878522,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-FOF-FOF-VC-BO-RE-NatRes-SEC-VC-BO","9516661-9511446-9511427-958657-956253-956830-953568-951038-951093-95231"
"2101","2010-12-31","2012-01-01",1.06488276964739,1.11027163647387,"0.2-3.8-1.3-3.4-0.3-0.8-0.3-1.4-1.1-1000",14.4012055306298,"1-2-0.5-1.5-1.2-1.5-1-1-1-1",2.37954613413017,"BO-RE-RE-VC-BO-FOF-RE-FOF-VC-BO","9516801-9510632-9510458-9510163-955293-953599-954552-953203-951111-951345"
