This file was created using the 201603 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
201404    ,0.30   ,-3.50    ,1.64    ,0.00
201405    ,1.99   ,-1.91   ,-0.53    ,0.00
201406    ,2.80    ,3.17    ,0.38    ,0.00
201407   ,-2.04   ,-3.97   ,-0.07    ,0.00
201408    ,4.06    ,0.34   ,-1.06    ,0.00
201409   ,-2.44   ,-3.55   ,-2.75    ,0.00
201410    ,2.03    ,2.47   ,-3.47    ,0.00
201411    ,2.23   ,-2.13   ,-3.04    ,0.00
201412   ,-0.20    ,1.78    ,0.76    ,0.00
201501   ,-3.46   ,-1.05   ,-4.05    ,0.00
201502    ,6.15    ,0.91   ,-1.39    ,0.00
201503   ,-1.21    ,2.45   ,-1.01    ,0.00
201504    ,1.13   ,-2.42    ,3.43    ,0.00
201505    ,0.99    ,0.90   ,-2.13    ,0.00
201506   ,-1.72    ,2.52   ,-1.27    ,0.00
201507    ,1.07   ,-4.24   ,-4.96    ,0.00
201508   ,-5.91    ,0.11    ,2.91    ,0.00
201509   ,-3.34   ,-3.10    ,0.63    ,0.00
201510    ,7.49   ,-2.06    ,0.61    ,0.00
201511    ,0.44    ,2.67   ,-0.98    ,0.00
201512   ,-2.45   ,-2.69   ,-2.17    ,0.01
201601   ,-5.71   ,-3.64    ,3.74    ,0.01
201602    ,0.26    ,1.11    ,0.91    ,0.02
201603    ,7.00    ,1.05    ,2.11    ,0.02



 Annual Factors: January-December
,Mkt-RF,SMB,HML,RF
1991   ,27.07   ,13.73  ,-16.59    ,5.60
1992    ,5.11    ,7.93   ,12.37    ,3.51
1993    ,8.84    ,8.68   ,18.75    ,2.90
1994   ,-3.93   ,-2.10   ,-0.10    ,3.90
1995   ,30.13   ,-4.22   ,-2.15    ,5.60
1996   ,17.06   ,-3.72    ,7.80    ,5.21
1997   ,25.59  ,-10.61   ,15.16    ,5.26
1998   ,18.10  ,-25.38  ,-15.80    ,4.86
1999   ,18.58   ,11.77  ,-33.01    ,4.68
2000  ,-13.69   ,-0.35   ,46.79    ,5.89
2001  ,-14.57   ,13.12   ,18.52    ,3.83
2002  ,-22.97    ,0.91   ,14.55    ,1.65
2003   ,31.44   ,22.29    ,5.84    ,1.02
2004   ,11.94    ,5.93   ,10.17    ,1.20
2005    ,4.94   ,-0.54    ,7.56    ,2.98
2006   ,10.76    ,0.35   ,13.07    ,4.80
2007    ,3.17   ,-6.48  ,-13.65    ,4.66
2008  ,-39.54   ,-1.24    ,0.35    ,1.60
2009   ,31.77   ,11.59   ,-4.43    ,0.10
2010   ,18.18   ,17.46   ,-2.17    ,0.12
2011   ,-0.70   ,-7.10   ,-4.44    ,0.04
2012   ,15.58   ,-0.88    ,6.84    ,0.06
2013   ,32.31    ,2.62    ,0.90    ,0.02
2014   ,10.74   ,-8.47   ,-5.70    ,0.02
2015   ,-1.64   ,-6.13   ,-9.83    ,0.02
