Date;Liq.Agg;Liq.Inno;Liq.Trade
198701;-0.02906233;-0.007861341;-0.071797072
198702;0.005439631;0.026855552;-0.039791198
198703;-0.023641863;0.017931993;-0.017137196
198704;-0.126322684;-0.108065654;-0.040554407
198705;0.005895904;0.032053741;0.009954667
198706;0.008100339;0.057657671;0.026701148
198707;0.016391733;-0.028650742;0.004478087
198708;-0.002212639;0.015023064;-0.056095233
198709;-0.03012279;-0.039166641;0.002251011
198710;-0.461006635;-0.384434109;0.055070917
198711;-0.024268475;-0.071419812;-0.017544224
198712;-0.102085889;-0.025538335;0.001863272
198801;-0.11093769;-0.073224782;0.039269447
198802;-0.033424961;0.062618539;0.002055531
198803;-0.030570298;0.02634673;-0.021572194
198804;0.008880095;0.030098434;-0.023093543
198805;-0.06853687;-0.000217924;-0.003331556
198806;0.007002899;0.020087516;-0.012392286
198807;0.016833663;0.033274055;-0.011189104
198808;-0.025814135;0.027307655;0.03415731
198809;-0.022907456;0.003061598;0.014296663
198810;-0.043188866;0.004291836;0.026168241
198811;-0.065589906;-0.006706802;-0.001174438
198812;-0.024276894;0.00246263;-0.043137984
198901;0.018213379;0.075120464;-0.008366592
198902;-0.002578876;0.01365978;-0.001755859
198903;0.000236276;0.008450482;-0.014514941
198904;-0.021552196;-0.001874123;-0.018003601
198905;0.04316472;0.049434143;-0.035832524
198906;-0.003383504;0.002338963;0.067938017
198907;0.017373333;0.025485173;0.025069696
198908;-0.084886662;-0.052125532;0.008043034
198909;0.027785413;0.017132691;-0.050740623
198910;-0.157862003;-0.112240785;0.024695652
198911;-0.009830392;0.017471;-0.019397092
198912;-0.021630182;0.00866115;0.02212731
199001;-0.023188345;-0.003834277;-0.034642949
199002;-0.004558274;0.027070074;-0.032265137
199003;-0.022161198;0.036176194;-0.025938344
199004;0.010490197;0.010668188;0.059154319
199005;0.01134741;0.011388195;-0.012925808
199006;0.002401438;-0.001273971;0.02459627
199007;-0.031723661;-0.013514882;0.05313607
199008;0.029455321;0.013035523;0.044185258
199009;-0.015681689;0.063166906;0.023067771
199010;0.053710324;0.049836238;-0.015687894
199011;0.030115084;0.016742316;-0.018165084
199012;-0.055580246;-0.031664645;-0.034442395
199101;0.038957556;0.022348238;-0.090566703
199102;-0.021173361;-0.036473365;-0.026548309
199103;-0.026115824;-0.023220313;-0.011402572
199104;0.006464405;0.045211693;0.010396667
199105;-0.005935594;0.001224219;-0.00984421
199106;0.041703164;0.051090178;0.025155355
199107;-0.001286557;0.004784483;0.016716979
199108;-0.016937894;-0.019089952;-0.012659263
199109;-0.014476074;0.017808225;0.007306509
199110;-0.019230826;0.021449404;0.023249532
199111;0.027519208;-0.001662105;0.053054074
199112;-0.053449023;-0.072828108;-0.056060722
199201;-0.061425156;-0.036416875;-0.074142283
199202;-0.039232388;0.010818232;-0.045632919
199203;-0.038446768;0.017853137;-0.000491216
199204;0.034613378;0.047389157;-0.007698836
199205;0.001332154;0.052589453;-0.002616218
199206;0.06708421;0.009535829;0.011057305
199207;-0.037047206;-0.049165353;0.024082552
199208;-0.004850838;0.006176468;0.044640916
199209;0.012378035;0.033169615;-0.0168486
199210;-0.059856137;-0.053989785;-0.017768962
199211;0.001799606;0.034834184;-0.05746596
199212;0.008335823;0.022655792;-0.030820043
199301;0.004793756;0.035427566;-0.001151446
199302;-0.025149349;-0.000899456;0.065192933
199303;-0.037351563;-0.008656548;-0.039323856
199304;0.003013333;0.03255162;-0.017965742
199305;-0.014525489;0.014981748;0.043314581
199306;-0.018419991;0.011430677;-0.032367591
199307;-0.018657929;0.007098384;-0.013572531
199308;0.040883184;0.024223855;0.017745431
199309;0.025076743;0.033265437;-0.076681295
199310;0.004301838;0.013461195;0.048736655
199311;0.015118459;0.028403768;0.05041774
199312;0.049952542;0.031031374;0.012974588
199401;0.038801443;0.07024849;0.002242695
199402;-0.0510396;-0.037767288;0.013282672
199403;-0.01537955;-0.008399573;0.032081512
199404;-0.074834533;-0.050989043;0.005156662
199405;-0.039017867;-0.000346456;0.03710454
199406;-0.078480108;-0.034115983;-0.001100064
199407;0.01187593;0.063092246;-0.010295981
199408;-0.017373587;0.035821963;0.003685489
199409;0.02063491;0.016535057;0.032691203
199410;0.030068673;0.034160201;0.008377245
199411;-0.014579924;-0.044048355;-0.021461894
199412;-0.029581709;-0.007498751;0.01531391
199501;0.022103692;0.064832711;-0.03383445
199502;0.023434808;0.025106564;-0.006399897
199503;0.009981359;-0.010985052;0.015693974
199504;0.031559674;0.0522328;0.012784812
199505;-0.002283063;0.004855953;-0.005614921
199506;-0.026107394;-0.031648963;0.007873993
199507;-0.00698546;0.013451109;0.051311539
199508;-0.003340614;0.019790575;-0.009680903
199509;-0.027817991;-0.022698374;-0.077340127
199510;-0.004928347;0.010178299;0.028650739
199511;0.031899101;0.061962461;-0.021628126
199512;-0.063117404;-0.026794165;-0.035103257
199601;-0.015917585;-0.006005625;0.067470379
199602;0.024217896;0.075552302;0.037594829
199603;-0.052205155;-0.044467037;-0.040704099
199604;-0.024346542;0.019017819;-0.049120337
199605;0.008760001;0.019137829;-0.02358358
199606;-0.013614175;-0.009576546;-0.055223666
199607;-0.024604644;0.002400009;0.004161994
199608;0.080368481;0.102711607;0.007695705
199609;0.000387183;-0.022310381;-0.021826545
199610;-0.002517787;-2.66E-02;-0.010159139
199611;-0.008325612;-0.019114692;0.070543503
199612;0.024150984;0.036515452;-0.041291155
199701;-0.016954861;0.059495494;-0.037275562
199702;0.002704978;-0.014311087;-0.035042673
199703;-0.007689106;0.017630735;0.016819668
199704;0.01668;0.019071602;0.062007304
199705;0.027222343;0.044101637;0.012118997
199706;-0.009755005;-0.004904573;0.008803104
199707;-0.007683293;0.003059181;0.029706413
199708;-0.056921287;-0.009687273;-0.011940025
199709;-0.027802411;0.03430984;-0.022247263
199710;-0.170918477;-0.109788717;-0.002549063
199711;0.023458419;0.071338391;0.050540974
199712;-0.023220232;0.028566336;0.013617951
199801;-0.043521787;-0.071143182;0.020320096
199802;-0.120430847;0.000491141;0.077162816
199803;-0.04784806;-0.008327556;-0.019002296
199804;0.040129756;0.099531424;0.01021943
199805;0.006827269;0.013491125;-0.002694254
199806;-0.055644479;-0.029435727;0.02821311
199807;-0.043691818;0.002277685;0.023273048
199808;-0.063691196;-0.00503999;-0.019525533
199809;-0.282232403;-0.271398975;0.047060683
199810;-0.044779889;0.062172418;0.002011756
199811;0.046680218;0.116760103;-0.013150842
199812;-0.153010845;-0.10630319;-0.002842236
199901;0.064080205;0.065426069;-0.002880159
199902;-0.086384224;-0.062488794;0.024066623
199903;-0.069214439;-0.003852033;-0.031390586
199904;0.201014985;0.286698733;0.10357627
199905;-0.134862606;-0.140519375;-0.006076076
199906;0.061002801;0.067164924;-0.00340903
199907;0.08139654;0.05807227;-0.009462755
199908;0.045374931;-0.017946559;-0.002956127
199909;-0.047583221;-0.069274448;-0.073760265
199910;0.102311635;0.091827867;0.1075289
199911;0.002565375;-0.036757945;-0.008733994
199912;-0.076954121;-0.085072391;-0.024883176
200001;-0.067951588;-0.045821527;0.014594939
200002;-0.037552824;-0.007694993;0.015426657
200003;-0.006335184;0.109492632;-0.002942907
200004;-0.224435495;-0.218754968;-0.044683412
200005;0.063235784;0.083651477;-0.029131743
200006;-0.182603653;-0.158804094;-0.033653669
200007;0.057190614;-0.052889342;0.11026282
200008;-0.061834166;0.026084505;-0.007035837
200009;-0.154464442;-0.142555376;-0.040840262
200010;-0.131496168;-0.004858777;0.021701702
200011;-0.158285335;-0.138467903;-0.04193612
200012;0.095334508;0.059712042;0.008563653
200101;-0.122712461;-0.030616343;0.067540935
200102;-0.050944039;-0.066987229;0.041837068
200103;-0.053645373;0.027026429;0.073220959
200104;-0.070313675;0.096695049;0.003772044
200105;0.099484051;0.114102776;0.0304345
200106;0.018690112;0.089165597;0.001335159
200107;-0.057592329;-0.010093644;0.035851726
200108;-0.059617571;0.054700327;0.046722834
200109;-0.041496419;-0.121914823;-0.10778653
200110;0.069368567;0.10124749;0.033030901
200111;0.026282715;-0.002324017;0.033999149
200112;0.011849242;0.05626503;0.068891655
200201;-0.066419565;-0.010595594;-0.013892465
200202;-0.012856435;-0.011082112;0.015348737
200203;0.06246393;0.029255349;0.091701811
200204;-0.107367425;-0.028968662;0.047418277
200205;-0.034171316;-0.044345689;0.050031502
200206;-0.116769518;-0.057977837;-0.012735504
200207;-0.049746182;0.002495845;-0.053429426
200208;-0.013149305;-0.00084275;0.006527146
200209;-0.171147419;-0.099546117;-0.010310236
200210;-0.333650677;-0.150593018;0.039375985
200211;-0.034877251;0.034671892;0.029579832
200212;-0.169024194;0.003550177;-0.014277301
200301;-0.084677556;-0.081381839;-0.01836637
200302;-0.039299129;-0.036799712;0.005164561
200303;-0.107626575;-0.067727917;0.005664333
200304;-0.048803862;-0.004478042;0.047704259
200305;0.024382949;0.019110589;0.012101086
200306;-0.01869387;-0.000164927;-0.009175534
200307;-0.033763757;0.022980673;0.067893417
200308;0.014239392;0.028875691;0.020294046
200309;-0.106193949;-0.033806867;0.016918659
200310;-0.0411309;0.003963582;0.011238186
200311;-0.031786195;-0.004474713;-0.004739359
200312;-0.019439523;0.043450734;-0.009616587
200401;-0.108785319;-0.022116272;-0.048424016
200402;-0.036686973;-0.058117513;0.024789618
200403;0.020564959;0.070132212;0.021505536
200404;-0.049906519;0.014181721;0.00264921
200405;0.002595933;-0.01631125;0.004180152
200406;0.056134789;0.108052213;0.018094499
200407;-0.032339266;-0.001969286;0.056031703
200408;-0.002744318;0.032263028;0.059837411
200409;-0.042487494;-0.009266662;0.001169579
200410;0.022974922;0.028845613;0.000999581
200411;-0.012641527;0.027142673;0.00726803
200412;-0.071768808;-0.03167631;-0.026049904
200501;-0.007271516;0.006028459;0.041861915
200502;-0.054696492;-0.003023611;0.06574018
200503;-0.019289579;0.002317764;0.003490761
200504;-0.127095004;-0.097668199;-0.051216576
200505;0.005358561;0.051011999;-0.000934702
200506;0.006927716;0.083860547;0.045337854
200507;0.044935631;0.043325197;0.018227548
200508;-0.002181612;0.015488242;0.029094886
200509;-0.025615041;-0.019207983;0.032821286
200510;-0.060997599;-0.002806211;-0.045963881
200511;0.134299948;0.104074792;0.00049047
200512;-0.034081813;-0.076643622;0.001868193
200601;-0.058893992;-0.052196551;0.053509894
200602;-0.0578029;-0.037999118;-0.012282296
200603;-0.008477862;0.035341786;0.002729586
200604;-0.065815302;0.019787272;0.003443534
200605;0.049250818;0.100231322;0.016437174
200606;-0.069041863;0.062957323;0.012982579
200607;0.034504112;0.00219838;0.035016678
200608;0.010938414;-0.04394441;-0.023835105
200609;-0.08062831;-0.046147343;0.007226566
200610;0.031528796;0.057904807;0.043495309
200611;-0.012983049;0.039182324;0.018653545
200612;0.026532237;0.023235848;-0.016380527
200701;0.042961862;0.015345991;0.015249249
200702;0.001851765;0.044743783;0.042367174
200703;-0.035340666;-0.0247062;0.01570898
200704;-0.010775547;0.009321387;0.005886188
200705;0.054002753;0.071383461;-0.018389337
200706;0.068041681;0.085592168;0.039531173
200707;-0.008293371;-0.025143922;0.001927012
200708;-0.150886601;-0.195000391;-0.012199952
200709;-0.050591141;-0.036333665;0.035095147
200710;-0.188887832;-0.043599913;0.017640191
200711;-0.155331258;-0.019052397;-0.005311546
200712;-0.025237928;0.028493385;0.014028525
200801;-0.16018;-0.05912744;-0.022170791
200802;0.08597011;-0.00996337;-0.011225542
200803;-0.288280427;-0.15141706;0.035205837
200804;0.044360462;0.132364393;0.063616584
200805;-0.002406234;-0.005575522;0.0486834
200806;-0.113807577;-0.054463698;0.043218737
200807;-0.175470704;-0.066240284;-0.052285684
200808;-0.002925564;0.023604503;-0.009833538
200809;-0.081051215;-0.228057278;-0.042645256
200810;-0.241289914;-0.068659532;-0.093271776
200811;0.06809974;0.124414884;-0.042319818
200812;-0.291188039;-0.19420581;-0.012265123
200901;-0.075238571;-0.178867311;0.214598743
200902;-0.043232579;0.023962818;0.121610146
200903;-0.096442232;-0.02983756;-0.098896375
200904;-0.094683142;-0.041589481;-0.057710598
200905;-0.06480364;0.071452781;-0.019893415
