Date;EI10y;RRP;IRP
01.07.08;2.343078;1.1970234;0.35754708
01.08.08;2.3471243;1.184959;0.37052959
01.09.08;2.2096956;1.1731495;0.36324406
01.10.08;2.1066821;1.2066017;0.31249246
01.11.08;2.0072092;1.2455393;0.24727665
01.12.08;1.5806981;1.1710135;0.24699127
01.01.09;1.621304;1.15917;0.26948436
01.02.09;1.6701025;1.1539969;0.30678911
01.03.09;1.6327655;1.1647245;0.35990429
01.04.09;1.6962653;1.1268905;0.33129585
01.05.09;1.8570946;1.225951;0.38054339
01.06.09;2.0073266;1.2439714;0.38743407
01.07.09;2.0420241;1.2420316;0.39130083
01.08.09;2.0934921;1.2199233;0.38802454
01.09.09;2.0688171;1.187508;0.38646009
01.10.09;1.9561555;1.1761974;0.3911391
01.11.09;2.0233626;1.1927549;0.39701612
01.12.09;1.9064085;1.1668623;0.38956025
01.01.10;2.0911325;1.3275341;0.48229737
01.02.10;2.0165529;1.2811064;0.46111999
01.03.10;2.0067599;1.2516075;0.45611324
01.04.10;2.0631275;1.3081659;0.46677283
01.05.10;2.0234055;1.2817381;0.45382013
01.06.10;1.8811319;1.2340777;0.434643
01.07.10;1.7304709;1.1848002;0.43133794
01.08.10;1.7086811;1.1658476;0.40546454
01.09.10;1.580762;1.1467902;0.40481884
01.10.10;1.5742367;1.1236226;0.3707564
01.11.10;1.5460638;1.1177811;0.35032067
01.12.10;1.6945193;1.2103835;0.4028428
01.01.11;1.9670054;1.2715228;0.44115648
01.02.11;1.9901515;1.2505481;0.43320821
01.03.11;2.048335;1.2381054;0.41771466
01.04.11;2.099215;1.2472274;0.42672544
01.05.11;2.032293;1.1916548;0.41595113
01.06.11;1.894122;1.1663034;0.39747521
01.07.11;1.9889734;1.1992538;0.42717122
01.08.11;1.7313642;1.1649313;0.41649671
01.09.11;1.5583105;1.1440924;0.40174249
01.10.11;1.5883361;1.1446024;0.40553757
01.11.11;1.6085842;1.1647874;0.41348036
01.12.11;1.6422125;1.1775767;0.42291825
01.01.12;1.6011744;1.1758662;0.4196948
01.02.12;1.5458862;1.1563519;0.40258899
01.03.12;1.5801475;1.1826697;0.41969279
01.04.12;1.6497201;1.2034739;0.44035067
01.05.12;1.5553438;1.1667997;0.36169354
01.06.12;1.4156358;1.139161;0.3892074
01.07.12;1.4852789;1.1662842;0.4005663
01.08.12;1.480409;1.1504595;0.37113147
01.09.12;1.5292492;1.1308315;0.3671691
01.10.12;1.5026504;1.1512764;0.37880191
01.11.12;1.5179508;1.1812764;0.37830663
01.12.12;1.5262619;1.1649553;0.39738278
01.01.13;1.4890559;1.2165788;0.41883836
01.02.13;1.5381946;1.2050741;0.39101545
01.03.13;1.4118858;1.153486;0.26875656
01.04.13;1.4618435;1.1647183;0.33785295
01.05.13;1.4138488;1.1759681;0.35382745
01.06.13;1.5503442;1.2359215;0.39003553
01.07.13;1.634568;1.292494;0.45195869
01.08.13;1.7580797;1.2864123;0.46262029
01.09.13;1.8688006;1.3064023;0.47678747
01.10.13;1.7246934;1.2680435;0.44050369
01.11.13;1.7163045;1.2602462;0.43903639
01.12.13;1.7851389;1.2365995;0.44602279
01.01.14;1.8490071;1.2914453;0.47642691
01.02.14;1.7690838;1.2523933;0.45496905
01.03.14;1.7451938;1.2399027;0.46498469
01.04.14;1.87485;1.2713635;0.46540729
01.05.14;1.8687902;1.2451624;0.445655
01.06.14;1.8300901;1.2307904;0.44397422
01.07.14;1.8823807;1.2255665;0.45033551
01.08.14;1.8790741;1.2286231;0.41469918
01.09.14;1.9131183;1.2179332;0.42697234
01.10.14;1.8727096;1.2299821;0.43147665
01.11.14;1.8157437;1.2211969;0.39510803
01.12.14;1.8521375;1.1374824;0.45847706
01.01.15;1.6943704;1.2003966;0.32165939
01.02.15;1.5339526;1.169366;0.31836221
